FundingAgency,Classification
"Faculty of Veterinary Science, Chulalongkorn University",General Veterinary
Ramathibodi Hospital,Periodontics
Ramathibodi Hospital,Pharmacology (medical)
"Special Research Fund for the Faculty of Dentistry, Chulalongkorn University",Periodontics
"National University Hospital Singapore Glaucoma Research Fund, Singapore, Republic of Singapore",Ophthalmology
Ratchdaphiseksomphot Endowment fund and Rachadapisek Sompoch Project,Multidisciplinary
Second Century Foundation,Multidisciplinary
"Virbac (Thailand) Co., Ltd.",General Veterinary
Office of Biological and Environmental Research,General Energy
"Immunology Research Center, Faculty of Dentistry, Chulalongkorn University",Periodontics
"K.M.P. Biotech Co., Ltd.",Plant Science
Chula-longkorn University Thailand,Public Health
Chula-longkorn University Thailand,Marketing
Chula-longkorn University Thailand,General Energy
C2F,General Nursing
C2F,Aquatic Science
C2F,Multidisciplinary
C2F,Multidisciplinary
American Nurse Association,General Nursing
Items for Systematic Reviews and Meta-Analyses,General Nursing
"Faculty of Medicine, Chulalongkorn University to Uthaibhorn Singkham-in",Multidisciplinary
"Department of Chemical Engineering, Faculty of Engineering, Chulalongkorn University",Multidisciplinary
90thAnniversary Chulalongkorn University,General Veterinary
Faculty of Veterinary Science,General Veterinary
Faculty of Veterinary Science,General Veterinary
Small Animal Hospital,General Veterinary
International Network for Lupus Research,Multidisciplinary
"International Network for Lupus Research, Thailand",Multidisciplinary
"TRF, Thailand",Multidisciplinary
H2020 ERC,Physics and Astronomy (miscellaneous)
Ratchadapisek Sompoch Endow,General Earth and Planetary Sciences
Kavli Foundation,Nuclear and High Energy Physics
Kavli Foundation,Nuclear and High Energy Physics
Kavli Foundation,Nuclear and High Energy Physics
Kavli Foundation,Nuclear and High Energy Physics
Kavli Foundation,Nuclear and High Energy Physics
Nvidia Corporation,Nuclear and High Energy Physics
Nvidia Corporation,Nuclear and High Energy Physics
Nvidia Corporation,Nuclear and High Energy Physics
Nvidia Corporation,Nuclear and High Energy Physics
Nvidia Corporation,Nuclear and High Energy Physics
Department of Disease Control,Plant Science
Ministry of Public Health,Plant Science
Fundació Catalana de Trasplantament,Nuclear and High Energy Physics
Fundació Catalana de Trasplantament,Nuclear and High Energy Physics
FDF,Public Health
HEC,Public Health
receipt of faculty development fund,Public Health
Centre for European Studies,Economics and Econometrics
Queen Savang Vadhana Memorial Hospital,Multidisciplinary
Thai Red Cross AIDS Research Centre,Multidisciplinary
Thai Red Cross AIDS Research Centre,Multidisciplinary
ViiV Healthcare,Multidisciplinary
Cluster and Program Management Office,Physiology
NRU‐ KU,General Biochemistry
Western University,General Chemical Engineering
Ministry of Digital Economy and Society,Multidisciplinary
Department of Marine Science and Environ-ment,Animal Science and Zoology
Faculty of Science and Fisheries Technology,Animal Science and Zoology
Rajamangala University of Technology Srivijaya,Animal Science and Zoology
Queen Saovabha Memorial Institute,General Engineering
"Center of Excellence on Agricultural Biotechnology, Science and Technology Postgraduate Education and Research Development Office",Virology
Ministry of Education of Thailand,Virology
Ministry of Education of Thailand,Nuclear and High Energy Physics
Ministry of Education of Thailand,Nuclear and High Energy Physics
Ministry of Education of Thailand,General Medicine
Laparoscopic and Endoscopic Surgeons of Thailand,General Medicine
British Council-Newton Fund,General Veterinary
University of Edinburgh,General Veterinary
Graduate School Chulalongkorn University,General Environmental Science
"Chulabhorn Research Institute, Bangkok, Thailand",Environmental Engineering
International Society of Nephrology,Nephrology
American Kidney Fund,Nephrology
SIIT,General Engineering
Sirindhorn International Institute of Technology,General Engineering
Sirindhorn International Institute of Technology,General Mathematics
,Multidisciplinary
"National Centre of Excellence for Petroleum, Petrochemicals and Advanced Materials",General Chemical Engineering
ASEAN-European Academic University Network,Pharmaceutical Science
Suan Sunandha Rajabhat University,Multidisciplinary
Digital Economy Promotion Agency,General Computer Science
Thailand Research Funds,General Computer Science
"Faculty of Veterinary Medicine, Chiang Mai University",General Veterinary
Department of Advanced Manufacturing Technology,General Chemical Engineering
Department of Manufacturing Engineering,General Chemical Engineering
WHO,General Medicine
WHO,Health Policy
King Saud University,Inorganic Chemistry
"Faculty of Pharmaceutical Sciences, University of Iceland",Pharmaceutical Science
Concrete and Materials Testing Laboratory,General Engineering
Malaysian Ministry of Education and Universiti Incentive,General Chemical Engineering
Malaysian Ministry of Education and Universiti Teknologi Malaysia,General Chemical Engineering
CU Graduate School,General Agricultural and Biological Sciences
Chulalongkorn Small Animal Teaching Hospital,General Veterinary
Faculty of Veterinary Medicine,General Veterinary
Faculty of Veterinary Sciences,General Veterinary
Kesetsart Veterinary Hospital,General Veterinary
Mahanakorn Animal Teaching Hospital,General Veterinary
Mahanakorn University of Technology,General Veterinary
Suvarnachad Animal Hospital,General Veterinary
Center of Excellence on Hazardous,Multidisciplinary
Osteoarthritis and Musculoskeleton Research Unit,Surgery
Canada Foundation for Innovation,General Chemical Engineering
"Faculty of Dentistry, Chulalongkorn University and Dental Research fund",General Dentistry
"Department of Home Economics, Faculty of Agriculture, Kasetsart University",Food Science
Food and Nutrition Program,Food Science
Boehringer-Ingelheim,General Medicine
Bristol-Myers Squibb,General Medicine
Eli Lilly,General Medicine
Pfizer,General Medicine
Pfizer,Cardiology and Cardiovascular Medicine
AstraZeneca,General Medicine
AstraZeneca,Cardiology and Cardiovascular Medicine
Merck & Co.,General Medicine
Merck & Co.,Multidisciplinary
Roche,General Medicine
Novartis Pharmaceuticals Corporation,General Medicine
Merck Sharp & Dohme,General Medicine
Division of Medicine and Obstetrics Gynaecology and Reproduction,General Veterinary
Small Animal Teaching Hospital,General Veterinary
Thailand Graduate Institute of Science and Technology,Analytical Chemistry
Thailand Graduate Institute of Science and Technology,Multidisciplinary
Ratchadapisek Sompoch Endowment,Multidisciplinary
TRF International Research Network Program,Physiology
Asia Research Center,Multidisciplinary
Korean Foundation for Advanced Studies,Multidisciplinary
,Multidisciplinary
,Multidisciplinary
,Multidisciplinary
Faculty of Applied Science,Molecular Medicine
Mahasarakham University,Molecular Medicine
NSRF,Materials Science (miscellaneous)
NSRF,General Medicine
NSRF,Physics and Astronomy (miscellaneous)
NSRF,Aquatic Science
NSRF,General Dentistry
Thailand Science Research and Innovation Fund Chulalongkorn University,General Chemical Engineering
Thailand Science Research and Innovation Fund Chulalongkorn University,Complementary and Alternative Medicine
Thailand Science Research and Innovation Fund Chulalongkorn University,Multidisciplinary
Thailand Science Research and Innovation Fund Chulalongkorn University,Complementary and Alternative Medicine
Thailand Science Research and Innovation Fund Chulalongkorn University,Aquatic Science
Government Pharmaceutical Organization,Multidisciplinary
"Military Medicine, Inc.",Multidisciplinary
DOD,Multidisciplinary
Henry M. Jackson Foundation,Multidisciplinary
Gilead Sciences,Multidisciplinary
"TRF Research Career Development Grant, Thailand Research Fund",General Social Sciences
"Baxter, Inc.",General Medicine
"Program Management Unit for Human Resources & Institutional Development, Research and Innovation - CU",Computational Mechanics
"Division of Pulmonary and Critical Care Medicine, Department of Medicine, Chulalongkorn University",Pulmonary and Respiratory Medicine
MHESI,Multidisciplinary
MHESI,Analytical Chemistry
MHESI,General Materials Science
MHESI,Horticulture
MHESI,General Materials Science
MHESI,Nuclear and High Energy Physics
MHESI,Nuclear and High Energy Physics
MHESI,Nuclear and High Energy Physics
NIHR,Pharmacology (medical)
Program Management Unit for Human Resources and Institutional Development Research and Innovation-CU,Immunology and Allergy
Rachadapiseksomphoch Endowment Fund,Immunology and Allergy
Graduate School,Multidisciplinary
,Pathology and Forensic Medicine
PERDO-CHE,Virology
"Research and Innovation, Faculty of Medicine, Chulalongkorn University",General Medicine
Chulalongkorn University Drug and Health Products Innovation and Promotion Center,Multidisciplinary
Veterinary Stem Cell and Bioengineering Research Unit,Multidisciplinary
Royal College of Physicians of Thailand,Multidisciplinary
Bill & Melinda Gates Foundation,Pharmacology (medical)
Johnson & Johnson,Cardiology and Cardiovascular Medicine
"Chulalongkorn University Bangkok, Thailand",Multidisciplinary
"Faculty of Medicine and Graduate School, Chulalongkorn University",Multidisciplinary
University of Western Australia,Multidisciplinary
"Department of Veterinary Microbiology, Faculty of Veterinary Science, Chulalongkorn University",Aquatic Science
Natural Science Foundation of Jiangsu Province,Food Science
"Fundamental Research Funds for the Central Universities, China",Food Science
Jiangsu Association for Science and Technology,Food Science
Coordinación de la Investigación Científica de la Universidad Michoacana,Multidisciplinary
Coordinación de la Investigación Científica de la Universidad Michoacana,Multidisciplinary
Coordinación de la Investigación Científica de la Universidad Michoacana,Multidisciplinary
Institute of Geophysics,Multidisciplinary
Institute of Geophysics,Multidisciplinary
Institute of Geophysics,Multidisciplinary
Planetary Physics,Multidisciplinary
Planetary Physics,Multidisciplinary
Planetary Physics,Multidisciplinary
Polish Science Centre,Multidisciplinary
Polish Science Centre,Multidisciplinary
Polish Science Centre,Multidisciplinary
US Department of Energy Office of High-Energy Physics,Multidisciplinary
US Department of Energy Office of High-Energy Physics,Multidisciplinary
US Department of Energy Office of High-Energy Physics,Multidisciplinary
University of Wisconsin Alumni Research Foundation,Multidisciplinary
University of Wisconsin Alumni Research Foundation,Multidisciplinary
University of Wisconsin Alumni Research Foundation,Multidisciplinary
VIEP-BUAP,Multidisciplinary
VIEP-BUAP,Multidisciplinary
VIEP-BUAP,Multidisciplinary
Laboratory Directed Research and Development,Multidisciplinary
Laboratory Directed Research and Development,Multidisciplinary
Laboratory Directed Research and Development,Multidisciplinary
Los Alamos National Laboratory,Multidisciplinary
Los Alamos National Laboratory,Multidisciplinary
Los Alamos National Laboratory,Multidisciplinary
Natural sciences and engineering research council of Canada,General Chemical Engineering
Royal Society,Multidisciplinary
Royal Society,Multidisciplinary
Royal Society,Multidisciplinary
Royal Society,Aquatic Science
General-itat Valenciana,Multidisciplinary
General-itat Valenciana,Multidisciplinary
General-itat Valenciana,Multidisciplinary
Marsden Fund,General Physics and Astronomy
Helmholtz Association,Nuclear and High Energy Physics
Rachadapiseksompoch Fund,Emergency Medicine
Abbott,Cardiology and Cardiovascular Medicine
Newton Fund,Food Science
Anchalee Tungtrongchitr,General Veterinary
CHE‐TRF Senior Research Fund,General Veterinary
"Office of Research Affairs, Chulalongkorn University",General Veterinary
RSA,General Veterinary
Narodowym Centrum Nauki,Nuclear and High Energy Physics
Department of Applied Chemistry,General Engineering
University of Toyama,General Engineering
